Player,Team,GP,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Carlos Delfino,HOU,67,1689,13.3,.549,.679,.090,1.2,13.4,7.4,12.5,2.0,0.4,10.0,18.6,2.0,1.5,3.5,.101,1.7,-0.6,1.2,1.3
Luol Deng,CHI,75,2903,15.1,.508,.213,.258,6.3,12.6,9.4,13.2,1.5,0.8,10.6,21.5,3.0,3.3,6.3,.105,0.6,0.4,1.1,2.2
Justin Dentmon,DAL,2,4,-19.4,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0.0,0.0,0.0,-0.571,-21.4,-6.5,-27.8,0.0
DeMar DeRozan,TOR,82,3013,14.7,.523,.097,.347,1.9,10.9,6.3,12.0,1.3,0.6,9.6,24.2,3.1,1.6,4.7,.075,-0.5,-1.4,-1.9,0.0
Boris Diaw,SAS,75,1709,11.9,.603,.235,.196,4.7,12.0,8.6,15.0,1.6,1.1,18.9,12.0,2.2,2.3,4.4,.124,-0.1,1.9,1.8,1.6
DeSagana Diop,CHA,22,226,6.6,.292,.037,.037,4.9,21.4,12.9,8.5,1.2,5.7,22.6,7.1,-0.3,0.2,-0.1,-0.017,-7.1,3.0,-4.1,-0.1
Keyon Dooling,MEM,7,82,11.2,.644,.571,.333,0.0,1.5,0.7,15.6,0.7,0.0,17.2,16.4,0.2,0.1,0.2,.128,-0.1,-4.5,-4.7,-0.1
Toney Douglas,TOT,71,1289,13.4,.531,.464,.180,3.0,9.2,6.1,18.3,2.8,0.2,13.9,19.9,1.4,1.0,2.4,.089,0.8,-1.1,-0.3,0.6
Toney Douglas,HOU,49,913,12.3,.522,.460,.193,2.9,8.2,5.6,16.0,2.2,0.2,12.8,21.0,0.8,0.7,1.5,.081,0.3,-1.4,-1.1,0.2
Toney Douglas,SAC,22,376,16.0,.558,.474,.140,3.3,11.6,7.3,23.8,4.2,0.2,17.1,17.3,0.6,0.3,0.9,.110,2.0,-0.2,1.8,0.4
Chris Douglas-Roberts,DAL,6,63,8.3,.462,.286,.714,0.0,8.7,4.4,8.9,1.6,0.0,5.2,14.0,0.0,0.0,0.1,.041,-3.2,-1.8,-5.0,0.0
Goran Dragić,PHO,77,2581,17.5,.540,.305,.360,2.6,8.0,5.2,35.7,2.5,0.8,16.8,21.7,4.1,1.6,5.7,.106,2.6,-1.2,1.4,2.2
Andre Drummond,DET,60,1243,21.6,.578,.006,.465,15.4,27.2,21.2,4.1,2.5,6.1,12.2,17.2,2.2,2.3,4.5,.172,-0.3,2.6,2.4,1.4
Jared Dudley,PHO,79,2170,14.9,.582,.405,.242,4.1,8.9,6.4,14.9,1.8,0.3,12.0,17.2,3.9,0.9,4.8,.106,2.1,-1.0,1.1,1.7
Chris Duhon,LAL,46,820,8.0,.517,.740,.106,1.5,7.5,4.6,22.8,1.2,0.1,23.7,9.2,0.6,0.4,1.0,.056,-1.7,-1.7,-3.5,-0.3
Tim Duncan,SAS,69,2078,24.4,.554,.007,.307,7.3,29.6,19.1,15.5,1.2,6.4,11.7,27.8,3.4,4.9,8.3,.191,-0.5,4.6,4.1,3.2
Mike Dunleavy,MIL,75,1943,13.6,.577,.479,.205,1.7,14.9,8.0,11.5,1.0,1.3,11.7,17.3,2.7,1.7,4.4,.109,0.5,-0.6,-0.1,0.9
Kevin Durant,OKC,81,3119,28.3,.647,.233,.523,1.8,20.3,11.8,21.7,1.9,2.6,13.7,29.8,13.6,5.3,18.9,.291,6.2,1.4,7.7,7.6
Devin Ebanks,LAL,19,197,6.3,.411,.301,.192,5.7,16.9,11.5,7.8,0.8,0.4,12.2,20.4,-0.2,0.1,-0.1,-0.025,-5.4,-2.2,-7.6,-0.3
Wayne Ellington,TOT,78,1661,12.2,.546,.454,.142,1.7,10.3,5.8,10.1,1.4,0.1,9.2,16.8,2.1,1.1,3.2,.093,0.2,-1.6,-1.4,0.3
Wayne Ellington,MEM,40,676,9.8,.529,.487,.080,0.9,8.4,4.5,9.9,1.3,0.1,10.4,15.7,0.6,0.8,1.3,.094,-0.9,-1.1,-1.9,0.0
Wayne Ellington,CLE,38,985,13.9,.556,.433,.179,2.2,11.6,6.7,10.3,1.5,0.2,8.5,17.6,1.6,0.3,1.9,.093,1.0,-2.0,-1.0,0.2
Monta Ellis,MIL,82,3076,16.2,.493,.228,.260,1.5,9.8,5.5,27.1,2.8,0.9,13.7,26.3,1.2,3.3,4.6,.071,0.8,0.0,0.8,2.2
Kim English,DET,41,407,7.9,.477,.446,.259,2.2,8.4,5.2,9.8,2.1,0.6,13.2,16.1,0.0,0.2,0.2,.021,-2.5,-1.6,-4.2,-0.2
Jeremy Evans,UTA,37,215,19.9,.641,.023,.750,14.0,17.6,15.8,8.0,2.0,4.8,12.0,14.1,0.7,0.3,0.9,.208,1.6,2.1,3.7,0.3
Reggie Evans,BRK,80,1967,12.8,.506,.000,.851,15.5,38.0,26.7,3.2,2.0,0.5,23.6,11.0,0.8,3.5,4.3,.105,-3.2,1.3,-1.8,0.1
Tyreke Evans,SAC,65,2016,18.1,.558,.174,.354,3.1,13.5,8.2,19.0,2.3,1.0,12.6,22.3,3.6,0.8,4.4,.105,1.9,-0.6,1.3,1.7
Festus Ezeli,GSW,78,1120,9.3,.467,.000,.479,14.3,16.4,15.4,2.7,1.0,5.2,23.5,10.7,0.0,1.5,1.5,.066,-4.0,2.6,-1.4,0.2
Kenneth Faried,DEN,80,2248,18.5,.573,.000,.386,13.2,23.2,18.3,5.1,1.8,2.9,12.3,17.7,4.5,3.4,7.8,.167,0.8,1.5,2.2,2.4
Derrick Favors,UTA,77,1787,17.5,.533,.009,.458,11.9,24.0,17.9,6.8,2.0,5.7,15.9,20.6,1.5,2.9,4.4,.117,-1.7,2.7,1.1,1.4
Raymond Felton,NYK,68,2313,15.2,.505,.293,.145,2.5,7.5,4.9,27.0,2.2,0.5,14.2,22.1,2.5,1.7,4.2,.087,1.1,-0.9,0.3,1.3
Landry Fields,TOR,51,1037,10.3,.487,.063,.238,6.7,17.4,11.9,8.9,1.6,0.6,14.6,12.9,0.3,0.8,1.1,.052,-2.7,0.7,-1.9,0.0
Derek Fisher,TOT,33,575,7.7,.492,.497,.236,0.4,6.6,3.6,11.7,1.7,0.4,14.4,16.4,0.0,0.4,0.4,.034,-2.1,-2.0,-4.1,-0.3
Derek Fisher,DAL,9,229,8.7,.513,.354,.354,0.0,7.2,3.6,19.5,1.1,0.7,19.3,18.5,0.0,0.1,0.1,.016,-2.7,-2.4,-5.1,-0.2
Derek Fisher,OKC,24,346,7.0,.478,.594,.156,0.7,6.2,3.6,6.6,2.1,0.2,10.5,15.1,0.0,0.3,0.3,.046,-1.8,-1.7,-3.5,-0.1
Evan Fournier,DEN,38,428,13.8,.597,.355,.257,1.6,7.4,4.6,15.5,2.2,0.2,15.9,20.4,0.7,0.3,1.0,.115,1.0,-2.0,-0.9,0.1
Randy Foye,UTA,82,2249,11.7,.550,.588,.195,0.9,5.8,3.3,11.7,1.5,0.9,10.3,18.1,2.8,0.9,3.7,.080,1.7,-2.1,-0.3,0.9
Jimmer Fredette,SAC,69,967,14.6,.546,.381,.242,2.2,6.4,4.2,15.9,1.6,0.2,13.1,23.9,1.1,-0.1,1.1,.052,0.7,-4.3,-3.6,-0.4
Joel Freeland,POR,51,477,9.3,.435,.000,.190,9.6,19.5,14.5,4.3,1.4,1.7,11.0,16.6,-0.2,0.4,0.2,.022,-5.3,-0.9,-6.2,-0.5
Danilo Gallinari,DEN,71,2309,16.7,.561,.416,.400,3.2,14.4,8.9,11.2,1.4,1.2,9.8,21.3,5.2,2.0,7.2,.151,2.7,-0.4,2.3,2.5
Francisco García,TOT,58,1029,11.0,.519,.597,.070,0.9,9.4,5.1,9.2,2.3,2.9,9.4,14.7,0.6,0.6,1.3,.059,-0.5,0.1,-0.4,0.4
Francisco García,SAC,40,710,10.5,.488,.532,.068,1.1,10.1,5.5,9.0,2.3,3.4,8.7,14.5,0.2,0.4,0.6,.040,-1.1,0.2,-0.9,0.2
Francisco García,HOU,18,319,12.2,.586,.737,.074,0.4,7.7,4.1,9.5,2.2,1.7,10.9,15.1,0.4,0.3,0.7,.101,0.9,-0.3,0.6,0.2
Kevin Garnett,BOS,68,2022,19.2,.535,.019,.236,4.5,25.8,15.5,14.4,2.0,2.4,10.5,24.5,1.8,3.8,5.6,.133,-1.2,2.3,1.0,1.5
Diante Garrett,PHO,19,149,9.0,.375,.306,.204,3.7,7.8,5.7,31.3,3.4,0.0,23.1,20.7,-0.3,0.1,-0.2,-0.073,-4.7,-1.5,-6.2,-0.2
Marc Gasol,MEM,80,2796,19.5,.559,.016,.364,7.6,18.9,13.1,19.1,1.6,4.1,13.5,19.2,6.1,5.4,11.5,.197,1.7,4.4,6.1,5.7
Pau Gasol,LAL,49,1655,16.7,.512,.048,.307,7.6,20.1,14.0,19.9,0.7,2.7,13.7,20.5,2.0,1.7,3.7,.107,-0.4,1.9,1.5,1.5
Rudy Gay,TOT,75,2687,15.6,.494,.208,.235,4.3,16.3,10.2,13.6,2.3,1.6,12.5,27.2,0.1,3.9,4.0,.072,-0.5,0.9,0.5,1.7
Rudy Gay,MEM,42,1541,14.1,.478,.188,.227,4.2,15.1,9.5,12.4,2.0,1.7,12.1,25.7,-0.2,2.6,2.4,.075,-1.2,1.3,0.1,0.8
Rudy Gay,TOR,33,1146,17.6,.513,.232,.246,4.4,17.8,11.0,15.3,2.6,1.5,13.1,29.1,0.3,1.4,1.6,.068,0.4,0.4,0.9,0.8
Alonzo Gee,CLE,82,2541,10.5,.505,.294,.276,3.3,11.7,7.3,8.2,2.2,0.9,13.7,16.9,0.5,1.5,1.9,.036,-1.4,-0.1,-1.5,0.3
Mickaël Gelabale,MIN,36,644,11.8,.605,.374,.173,5.5,12.3,8.8,6.4,1.3,0.5,9.7,11.5,1.0,0.5,1.5,.114,-0.1,0.0,-0.1,0.3
Paul George,IND,79,2972,16.8,.531,.399,.233,3.4,19.0,11.3,19.6,2.6,1.3,15.2,23.5,2.7,6.3,9.0,.145,1.8,2.9,4.7,5.0
