Player,Team,GP,MP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,STL,BLK,TOV,PF,ORtg,DRtg
Carlos Boozer,LAL,71,1692,25.2,2.9,11.2,22.4,.499,0.0,0.0,,2.8,4.5,.627,3.4,11.2,1.2,0.4,2.8,5.6,102,109
Chris Bosh,MIA,44,1556,31.5,3.2,11.6,25.3,.460,2.1,5.7,.375,6.1,7.9,.772,1.6,9.0,1.4,0.8,3.2,2.3,106,106
Avery Bradley,BOS,77,2428,22.1,2.8,9.0,20.9,.429,2.6,7.3,.352,1.6,2.1,.790,0.9,4.0,1.7,0.3,2.2,3.7,99,107
Elton Brand,ATL,36,486,10.1,2.3,4.4,10.0,.442,0.0,0.1,.000,1.3,2.4,.522,2.9,7.6,1.8,2.6,1.9,5.7,96,101
Corey Brewer,TOT,80,2087,22.0,4.2,8.2,19.3,.426,1.5,5.6,.268,4.0,5.4,.743,1.9,5.2,2.7,0.5,3.1,4.2,101,106
Corey Brewer,MIN,24,680,18.8,5.8,7.0,16.8,.418,0.6,3.1,.195,4.1,5.8,.705,2.4,4.6,4.0,0.3,3.7,4.6,97,109
Corey Brewer,HOU,56,1407,23.5,3.4,8.8,20.5,.429,1.9,6.9,.284,4.0,5.2,.764,1.7,5.5,2.1,0.5,2.9,3.9,103,105
Aaron Brooks,CHI,82,1885,26.2,7.2,9.4,22.4,.421,3.3,8.6,.387,4.0,4.8,.833,0.9,3.7,1.5,0.4,4.3,5.2,103,107
Jabari Brown,LAL,19,568,20.4,3.6,6.3,15.3,.412,2.1,5.6,.371,5.8,7.6,.753,0.3,3.0,1.1,0.2,2.9,3.0,104,115
Lorenzo Brown,MIN,29,549,11.3,8.3,4.8,11.3,.426,0.6,2.6,.214,1.1,1.8,.632,1.3,5.2,2.6,0.6,2.8,4.5,99,111
Markel Brown,BRK,47,781,14.3,2.6,5.0,13.9,.362,1.1,4.2,.266,3.1,3.8,.825,1.1,6.0,2.1,0.8,1.8,3.8,95,107
Shannon Brown,MIA,5,89,11.9,1.8,4.2,11.3,.368,1.8,4.2,.429,1.8,2.4,.750,0.0,0.6,2.4,0.0,2.4,4.7,87,110
Kobe Bryant,LAL,35,1207,33.1,8.3,11.3,30.2,.373,2.3,7.8,.293,8.3,10.2,.813,1.1,7.3,2.0,0.3,5.4,2.8,96,110
Chase Budinger,MIN,67,1286,18.1,2.5,6.7,15.4,.433,2.1,5.7,.364,2.6,3.2,.827,1.3,6.5,1.7,0.4,1.9,2.8,106,113
Reggie Bullock,TOT,36,338,10.3,1.2,3.6,10.5,.343,2.2,6.9,.326,0.9,1.3,.667,0.1,7.3,1.5,0.6,1.2,2.8,88,106
Reggie Bullock,LAC,25,263,12.5,1.2,4.4,10.4,.426,2.9,7.5,.385,0.8,1.0,.800,0.0,7.7,1.7,0.4,1.2,3.3,106,106
Reggie Bullock,PHO,11,75,2.7,1.3,0.7,10.6,.063,0.0,4.7,.000,1.3,2.7,.500,0.7,6.0,0.7,1.3,1.3,1.3,33,109
Trey Burke,UTA,76,2288,22.6,7.6,8.6,23.3,.368,2.9,9.1,.318,2.5,3.4,.752,0.7,4.0,1.5,0.3,2.9,2.8,100,108
Alec Burks,UTA,27,899,22.1,4.8,7.1,17.7,.403,1.5,4.0,.382,6.3,7.6,.822,1.1,5.6,1.0,0.3,3.1,3.8,107,109
Caron Butler,DET,78,1623,14.7,2.5,5.1,12.6,.407,2.6,7.0,.379,1.8,1.9,.902,0.7,5.6,1.4,0.1,1.6,3.8,108,109
