Player,Team,GP,GS,MPG,PPG,APG,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,DRB,STL,BLK,TOV,PF
Greivis Vásquez,TOR,82,29,24.3,9.5,3.7,3.6,8.8,.408,1.6,4.3,.379,.500,0.6,0.8,.758,0.3,2.4,0.6,0.1,1.5,2.2
Charlie Villanueva,DAL,64,1,10.6,6.3,0.3,2.3,5.7,.414,1.3,3.5,.376,.529,0.3,0.5,.571,0.5,1.9,0.2,0.3,0.4,1.0
Noah Vonleh,CHO,25,0,10.4,3.3,0.2,1.2,3.0,.395,0.2,0.5,.385,.428,0.7,1.0,.692,1.1,2.3,0.2,0.4,0.4,0.8
Nikola Vučević,ORL,74,74,34.2,19.3,2.0,8.5,16.3,.523,0.0,0.1,.333,.524,2.2,2.9,.752,3.2,7.7,0.7,0.7,2.0,3.0
Dwyane Wade,MIA,62,62,31.8,21.5,4.8,8.2,17.5,.470,0.5,1.6,.284,.483,4.6,6.0,.768,0.9,2.6,1.2,0.3,3.4,1.7
Dion Waiters,TOT,80,23,27.6,11.8,2.0,4.7,11.8,.396,0.9,3.1,.297,.435,1.5,2.2,.680,0.5,1.9,1.1,0.3,1.4,1.9
Dion Waiters,CLE,33,3,23.8,10.5,2.2,4.2,10.4,.404,0.7,2.6,.256,.436,1.4,1.8,.783,0.4,1.4,1.3,0.3,1.5,1.8
Dion Waiters,OKC,47,20,30.3,12.7,1.9,5.0,12.9,.392,1.1,3.4,.319,.435,1.5,2.4,.625,0.6,2.3,1.0,0.2,1.3,2.0
Henry Walker,MIA,24,13,26.2,7.3,1.2,2.4,7.0,.345,1.9,5.5,.341,.479,0.6,0.8,.778,0.3,3.1,1.0,0.4,1.0,3.2
Kemba Walker,CHO,62,58,34.2,17.3,5.1,6.1,15.8,.385,1.4,4.5,.304,.429,3.8,4.6,.827,0.6,3.0,1.4,0.5,1.6,1.5
John Wall,WAS,79,79,35.9,17.6,10.0,6.6,14.8,.445,0.8,2.7,.300,.473,3.6,4.6,.785,0.5,4.2,1.7,0.6,3.8,2.3
Gerald Wallace,BOS,32,0,8.9,1.1,0.3,0.4,1.1,.412,0.0,0.1,.333,.426,0.2,0.5,.400,0.5,1.3,0.5,0.1,0.6,0.6
T.J. Warren,PHO,40,1,15.4,6.1,0.6,2.8,5.4,.528,0.1,0.5,.238,.540,0.4,0.5,.737,1.0,1.1,0.5,0.2,0.7,1.3
C.J. Watson,IND,57,21,24.9,10.0,3.6,3.2,7.3,.434,1.2,3.1,.400,.518,2.4,2.9,.826,0.3,2.5,1.0,0.2,1.8,1.9
David Wear,SAC,2,0,3.5,0.0,0.5,0.0,1.0,.000,0.0,0.5,.000,.000,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.5
Travis Wear,NYK,51,1,13.2,3.9,0.8,1.6,4.1,.402,0.2,0.6,.367,.428,0.4,0.5,.769,0.6,1.5,0.3,0.2,0.7,1.1
Martell Webster,WAS,32,0,11.0,3.3,0.5,0.8,2.8,.264,0.3,1.3,.233,.319,1.5,2.0,.750,0.3,1.1,0.2,0.0,0.7,0.8
David West,IND,66,66,28.7,11.7,3.4,4.9,10.4,.471,0.1,0.3,.200,.474,1.8,2.4,.739,1.6,5.2,0.7,0.7,1.8,2.4
Russell Westbrook,OKC,67,67,34.4,28.1,8.6,9.4,22.0,.426,1.3,4.3,.299,.455,8.1,9.8,.835,1.9,5.4,2.1,0.2,4.4,2.7
Hassan Whiteside,MIA,48,32,23.8,11.8,0.1,5.1,8.1,.628,0.0,0.0,,.628,1.6,3.3,.500,3.0,7.0,0.6,2.6,1.2,2.7
Shayne Whittington,IND,20,0,5.4,2.9,0.3,1.0,2.1,.452,0.1,0.3,.167,.464,0.9,1.2,.783,0.5,1.0,0.3,0.1,0.3,0.9
Andrew Wiggins,MIN,82,82,36.2,16.9,2.1,6.1,13.9,.437,0.5,1.5,.310,.454,4.3,5.7,.760,1.6,2.9,1.0,0.6,2.2,2.3
C.J. Wilcox,LAC,21,0,4.8,2.0,0.4,0.8,1.8,.421,0.3,0.9,.368,.513,0.1,0.1,1.000,0.0,0.3,0.1,0.0,0.5,0.3
Deron Williams,BRK,68,55,31.1,13.0,6.6,4.4,11.3,.387,1.3,3.5,.367,.443,3.0,3.5,.834,0.4,3.1,0.9,0.3,2.3,2.3
Derrick Williams,SAC,74,6,19.8,8.3,0.7,2.9,6.6,.447,0.7,2.1,.314,.498,1.8,2.6,.684,0.6,2.2,0.5,0.1,0.8,0.9
Elliot Williams,TOT,13,0,9.2,2.8,0.9,1.1,2.8,.378,0.6,1.4,.444,.486,0.1,0.3,.250,0.0,0.6,0.3,0.0,0.3,0.9
Elliot Williams,UTA,5,0,8.4,3.6,0.8,1.2,2.6,.462,1.0,1.4,.714,.654,0.2,0.4,.500,0.0,0.6,0.4,0.0,0.8,0.2
Elliot Williams,NOP,8,0,9.6,2.4,1.0,1.0,3.0,.333,0.4,1.4,.273,.396,0.0,0.3,.000,0.0,0.6,0.3,0.0,0.0,1.4
Lou Williams,TOR,80,0,25.2,15.5,2.1,4.7,11.6,.404,1.9,5.6,.340,.486,4.3,4.9,.861,0.3,1.6,1.1,0.1,1.3,1.3
Marvin Williams,CHO,78,37,26.1,7.4,1.3,2.7,6.3,.424,1.2,3.4,.358,.520,0.8,1.1,.713,0.7,4.2,0.9,0.5,0.8,1.9
Mo Williams,TOT,68,33,29.1,14.2,6.2,5.0,12.6,.397,1.8,5.1,.342,.466,2.4,2.8,.872,0.3,2.2,0.7,0.2,2.5,2.4
Mo Williams,MIN,41,19,28.0,12.2,6.4,4.4,10.9,.403,1.4,4.1,.347,.469,2.0,2.3,.851,0.3,2.1,0.7,0.2,2.5,2.5
Mo Williams,CHO,27,14,30.8,17.2,6.0,6.0,15.3,.390,2.2,6.6,.337,.462,3.1,3.4,.892,0.3,2.5,0.6,0.2,2.6,2.2
Reggie Williams,SAS,20,0,5.3,1.9,0.5,0.8,2.0,.385,0.2,1.0,.158,.423,0.2,0.2,1.000,0.3,0.6,0.1,0.0,0.1,0.6
Shawne Williams,TOT,63,22,17.3,5.4,0.7,1.9,4.8,.403,1.0,2.8,.360,.510,0.6,0.6,.875,0.6,2.1,0.4,0.3,0.5,2.1
Shawne Williams,MIA,44,22,21.0,6.6,0.8,2.3,5.5,.425,1.4,3.5,.395,.550,0.6,0.8,.848,0.6,2.5,0.5,0.4,0.5,2.6
Shawne Williams,DET,19,0,8.6,2.6,0.4,1.0,3.2,.317,0.2,1.4,.154,.350,0.4,0.4,1.000,0.5,0.9,0.2,0.2,0.4,1.0
Jeff Withey,NOP,37,0,7.0,2.6,0.3,0.9,1.7,.500,0.0,0.0,,.500,0.9,1.4,.680,0.6,1.1,0.1,0.5,0.3,0.7
Nate Wolters,TOT,21,0,11.8,2.0,1.0,1.0,2.7,.351,0.0,0.3,.000,.351,0.1,0.3,.333,0.4,1.2,0.4,0.1,0.6,0.9
Nate Wolters,MIL,11,0,12.9,2.3,0.9,1.1,2.8,.387,0.0,0.5,.000,.387,0.1,0.4,.250,0.2,1.3,0.5,0.0,0.3,1.0
Nate Wolters,NOP,10,0,10.5,1.7,1.1,0.8,2.6,.308,0.0,0.2,.000,.308,0.1,0.2,.500,0.6,1.2,0.3,0.2,1.0,0.7
Brandan Wright,TOT,75,7,19.3,7.3,0.5,3.1,4.8,.642,0.0,0.0,.000,.642,1.0,1.5,.696,1.7,2.6,0.7,1.3,0.5,1.4
Brandan Wright,DAL,27,0,18.7,8.8,0.4,3.7,5.0,.748,0.0,0.0,,.748,1.3,1.8,.750,1.9,2.2,0.6,1.6,0.5,1.6
Brandan Wright,BOS,8,0,10.8,3.3,1.0,1.5,2.6,.571,0.0,0.0,,.571,0.3,0.5,.500,0.9,1.3,0.1,0.6,0.6,0.5
Brandan Wright,PHO,40,7,21.5,7.0,0.6,3.0,5.2,.580,0.0,0.1,.000,.580,1.0,1.5,.667,1.8,3.1,0.8,1.2,0.4,1.4
Dorell Wright,POR,48,2,12.3,4.6,0.9,1.5,4.0,.379,0.9,2.3,.380,.487,0.7,0.9,.810,0.3,2.0,0.4,0.2,0.4,1.1
Tony Wroten,PHI,30,15,29.8,16.9,5.2,5.8,14.5,.403,1.2,4.7,.261,.446,4.0,6.0,.667,0.7,2.1,1.6,0.3,3.8,2.4
James Young,BOS,31,0,10.7,3.4,0.4,1.2,3.3,.353,0.5,2.1,.258,.436,0.5,0.9,.552,0.3,1.1,0.3,0.1,0.2,0.7
Nick Young,LAL,42,0,23.8,13.4,1.0,4.1,11.3,.366,2.0,5.4,.369,.453,3.1,3.5,.892,0.4,1.9,0.5,0.3,1.0,2.0
Thaddeus Young,TOT,76,68,32.0,14.1,2.3,5.9,12.7,.466,0.5,1.5,.330,.486,1.7,2.6,.655,1.7,3.7,1.6,0.3,1.5,2.3
Thaddeus Young,MIN,48,48,33.4,14.3,2.8,6.0,13.4,.451,0.4,1.4,.292,.466,1.8,2.7,.682,1.6,3.5,1.8,0.4,1.6,2.4
Thaddeus Young,BRK,28,20,29.6,13.8,1.4,5.8,11.7,.495,0.7,1.8,.380,.524,1.5,2.5,.606,1.9,4.1,1.4,0.3,1.5,2.0
Cody Zeller,CHO,62,45,24.0,7.6,1.6,2.8,6.0,.461,0.0,0.0,1.000,.462,2.0,2.6,.774,1.6,4.3,0.5,0.8,1.0,2.5
Tyler Zeller,BOS,82,59,21.1,10.2,1.4,4.1,7.5,.549,0.0,0.0,,.549,1.9,2.3,.823,1.8,3.9,0.2,0.6,0.9,2.5
